Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Supplier,Supplier pn,Mfr,Mfr part number,Footprint,Datasheet
A1,1,ESP32_POE,,,,Mouser,909-P32POEISOWROVER ,Olimex,ESP32-POE-ISO-WROVER ,ESP32:ESP32-POE-ISO-WROVER,https://cdn-learn.adafruit.com/downloads/pdf/adafruit-huzzah32-esp32-feather.pdf
"C1,C2",2,10n,,,,RS,486-242,Wurth,8.85012E+11,Capacitor_SMD:C_1210_3225Metric,~
"C3,C4,C5,C6,C7,C8,C9",7,100n,,,,RS,264-4416,Kemet,C0805C104K5RACTU,Capacitor_SMD:C_1210_3225Metric,~
C10,1,1u,,,,RS,365-4622,Panasonic,ECA2EHG010,Capacitor_THT:CP_Radial_D8.0mm_P5.00mm,~
"D1,D2",2,1N4001,,,,RS,628-8931,Vishay,1N4001-E3/54,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,"http://www.vishay.com/docs/88503/1n4001.pdf,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
F1,1,500mA,,,,RS,415-058,Bulgin,FX0457,Fuse:Fuseholder_Cylinder-5x20mm_Bulgin_FX0457_Horizontal_Closed,~
"F2,F3",2,100mA,,,,RS,415-058,Bulgin,FX0457,Fuse:Fuseholder_Cylinder-5x20mm_Bulgin_FX0457_Horizontal_Closed,~
F4,1,3A,,,,RS,415-058,Bulgin,FX0457,Fuse:Fuseholder_Cylinder-5x20mm_Bulgin_FX0457_Horizontal_Closed,~
H1,1,Heatsink fixing,,,,RS," 283-4295, 560-782",,,MountingHole:MountingHole_3.2mm_M3,~
HS1,1,Heatsink,,,,RS,712-4295,AAVID,TV5G,Heatsink:Heatsink_AAVID_TV5G_TO220_Horizontal,~
"J1,J2,J5",3,Conn_01x02_Socket,,,,RS,897-0843,RS Pro,897-0843,TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm,~
"J3,J4",2,Conn_01x04_Socket,,,,RS,670-1333,Molex,22-29-2041,Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,~
J6,1,Conn_01x03_Pin,,,,RS,483-8477,Molex,22-27-2031,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,~
K1,1,RT424012,,,,RS, 680-3830P,TE,RT424012,Relay_THT:Relay_DPDT_Schrack-RT2-FormC_RM5mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FRT2_bistable%7F1116%7Fpdf%7FEnglish%7FENG_DS_RT2_bistable_1116.pdf%7F1-1415537-8
Q1,1,BC337,,,,RS,796-9678P,Taiwan Semi,BC337-25 A1,Package_TO_SOT_THT:TO-92_Inline_Wide,https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf
"R1,R3,R5,R7,R8",5,470,,,,RS,199-7666,Yageo, MFR-25FTE52-470R,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
"R2,R4,R6,R9",4,270,,,,RS,199-7917,Yageo,MFR-25FTE52-270R,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R10,1,220,,,,RS,199-7610,Yageo,MFR-25FTE52-270R,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R11,1,680,,,,RS,148-461,TE,LR1F680R,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
"TC1,TC2",2,Thermocouple_Alt,,,,RS,381-7564,RS Pro,304-14-320,Connector Thermo:Thermocouple Connector,~
"U1,U4,U5,U7",4,H11L1,,,,RS,453-1722,Isocom,H11L1,Library:DIP-6_W7.62mm,https://www.onsemi.com/pub/Collateral/H11L3M-D.PDF
"U2,U3",2,MAX6675ISA_,,,,RS,190-1281,Maxim,MAX6675ISA+,MAX6675ISA_:SOIC127P600X175-8N,
U6,1,LM317_TO-220,,,,RS,533-8209,TI,LM317T/NOPB,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.ti.com/lit/ds/symlink/lm317.pdf
