Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Supplier,Supplier pn,Mfr,,Footprint,Datasheet
A1,1,ESP32_POE,,,,,,,,ESP32:ESP32-POE-ISO-WROVER,https://cdn-learn.adafruit.com/downloads/pdf/adafruit-huzzah32-esp32-feather.pdf
"C1,C2",2,10n,,,,RS,486-242,Wurth,8.85012E+11,Capacitor_SMD:C_1210_3225Metric,~
"C3,C4,C5,C6,C7,C9",6,100n,,,,RS,264-4416,Kemet,C0805C104K5RACTU,Capacitor_SMD:C_1210_3225Metric,~
C8,1,100n,,,,,,,,Capacitor_THT:C_Disc_D9.0mm_W5.0mm_P5.00mm,~
C10,1,1u,,,,,,,,Capacitor_THT:CP_Radial_D8.0mm_P5.00mm,~
D1,1,1N4148,,,,,,,,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf
D2,1,1N4001,,,,,,,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf
F1,1,500mA,,,,,,,,Fuse:Fuseholder_Cylinder-5x20mm_Bulgin_FX0457_Horizontal_Closed,~
"F2,F3",2,100mA,,,,,,,,Fuse:Fuseholder_Cylinder-5x20mm_Bulgin_FX0457_Horizontal_Closed,~
F4,1,3A,,,,,,,,Fuse:Fuseholder_Cylinder-5x20mm_Bulgin_FX0457_Horizontal_Closed,~
"H1,H2,H3,H4",4,MountingHole,,,,,,,,MountingHole:MountingHole_3.2mm_M3,~
HS1,1,Heatsink,,,,,,,,Heatsink:Heatsink_AAVID_TV5G_TO220_Horizontal,~
"J1,J2,J5",3,Conn_01x02_Socket,,,,,,,,TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm,~
"J3,J4",2,Conn_01x04_Socket,,,,,,,,Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,~
J6,1,Conn_01x03_Pin,,,,,,,,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,~
K1,1,RT424012,,,,,,,,Relay_THT:Relay_DPDT_Schrack-RT2-FormC_RM5mm,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FRT2_bistable%7F1116%7Fpdf%7FEnglish%7FENG_DS_RT2_bistable_1116.pdf%7F1-1415537-8
Q1,1,BC337,,,,,,,,Package_TO_SOT_THT:TO-92_Inline_Wide,https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf
"R1,R3,R5,R7,R8",5,470,,,,,,,,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
"R2,R4,R6,R9",4,270,,,,,,,,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R10,1,220,,,,,,,,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R11,1,680,,,,,,,,Library:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
"TC1,TC2",2,Thermocouple_Alt,,,,,,,,Connector Thermo:Thermocouple Connector,~
"U1,U4,U5,U7",4,H11L1,,,,,,,,Library:DIP-6_W7.62mm,https://www.onsemi.com/pub/Collateral/H11L3M-D.PDF
"U2,U3",2,MAX6675ISA_,,,,,,,,MAX6675ISA_:SOIC127P600X175-8N,
U6,1,LM317_TO-220,,,,,,,,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.ti.com/lit/ds/symlink/lm317.pdf
