Ref,Val,Package,PosX,PosY,Rot,Side
"D4","LED","FLPR60SG",180.340000,-119.380000,0.000000,bottom
"D5","LED","FLPR60SG",170.180000,-119.380000,0.000000,bottom
"D6","LED","FLPR60SG",160.020000,-119.380000,0.000000,bottom
"A1","ESP32_POE","ESP32-POE-ISO-WROVER",170.180000,-133.350000,0.000000,top
"C1","100n","C_Disc_D9.0mm_W5.0mm_P5.00mm",136.525000,-55.245000,0.000000,top
"C2","1u","CP_Radial_D8.0mm_P5.00mm",148.590000,-65.960000,90.000000,top
"C3","100n","C_1210_3225Metric",200.660000,-77.285000,90.000000,top
"C4","100n","C_1210_3225Metric",215.900000,-77.285000,90.000000,top
"C5","100n","C_1210_3225Metric",215.900000,-92.915000,90.000000,top
"C6","100n","C_1210_3225Metric",200.660000,-92.915000,90.000000,top
"C7","100n","C_1210_3225Metric",151.175000,-106.757000,-90.000000,top
"C8","100n","C_1210_3225Metric",131.707000,-106.797000,-90.000000,top
"C9","10n","C_1210_3225Metric",127.057000,-107.862000,180.000000,top
"C10","10n","C_1210_3225Metric",145.970000,-107.862000,180.000000,top
"D1","1N4001","D_DO-41_SOD81_P10.16mm_Horizontal",124.460000,-57.785000,-90.000000,top
"D2","1N4001","D_DO-41_SOD81_P10.16mm_Horizontal",126.365000,-72.390000,180.000000,top
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",132.080000,-92.734000,0.000000,top
"F1","500mA","Littelfuse 100 Spring Brass, PCB Fuse Clip for 5 x 20 mm Cartridge Fuse",84.940000,-80.010000,0.000000,top
"F2","2A","Littelfuse 100 Spring Brass, PCB Fuse Clip for 5 x 20 mm Cartridge Fuse",84.940000,-90.170000,0.000000,top
"F3","100mA","Littelfuse 100 Spring Brass, PCB Fuse Clip for 5 x 20 mm Cartridge Fuse",84.940000,-100.330000,0.000000,top
"F4","100mA","Littelfuse 100 Spring Brass, PCB Fuse Clip for 5 x 20 mm Cartridge Fuse",84.940000,-110.490000,0.000000,top
"HS1","Heatsink","Heatsink_AAVID_TV5G_TO220_Horizontal",100.300000,-62.230000,90.000000,top
"J1","Conn_01x03_Socket","PinHeader_1x03_P2.54mm_Vertical",187.960000,-72.390000,90.000000,top
"J2","Conn_01x02_Socket","TerminalBlock_Altech_AK300-2_P5.00mm",85.090000,-125.730000,0.000000,top
"J3","Conn_01x02_Socket","TerminalBlock_Altech_AK300-2_P5.00mm",96.590000,-125.730000,0.000000,top
"J4","Conn_01x02_Socket","TerminalBlock_Altech_AK300-2_P5.00mm",108.020000,-125.730000,0.000000,top
"J5","Conn_01x04_Socket","Mole_KK_1x04__Vertical",190.500000,-128.270000,90.000000,top
"J6","Conn_01x04_Socket","PinHeader_1x04_P2.54mm_Vertical",205.740000,-128.270000,90.000000,top
"JP1","Jumper_2_Open","PinHeader_1x02_P2.54mm_Vertical",149.860000,-55.880000,90.000000,top
"K1","RT424012","Relay_DPDT_Schrack-RT2-FormC_RM5mm",139.700000,-78.860000,180.000000,top
"Q1","BC337","TO-92_Inline_Wide",147.320000,-86.360000,90.000000,top
