"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A1";"ESP32-POE-ISO-WROVER";1;"ESP32_POE";;;
2;"C1";"C_Disc_D9.0mm_W5.0mm_P5.00mm";1;"100n";;;
3;"C2";"CP_Radial_D8.0mm_P5.00mm";1;"1u";;;
4;"C3, C4, C5, C6, C7, C8";"C_1210_3225Metric";6;"100n";;;
5;"C9, C10";"C_1210_3225Metric";2;"10n";;;
6;"D1, D2";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4001";;;
7;"D3";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
8;"D4, D5, D6";"FLPR60SG";3;"LED";;;
9;"F1";"Littelfuse 100 Spring Brass, PCB Fuse Clip for 5 x 20 mm Cartridge Fuse";1;"500mA";;;
10;"F2";"Littelfuse 100 Spring Brass, PCB Fuse Clip for 5 x 20 mm Cartridge Fuse";1;"2A";;;
11;"F3, F4";"Littelfuse 100 Spring Brass, PCB Fuse Clip for 5 x 20 mm Cartridge Fuse";2;"100mA";;;
12;"H1, H2, H3, H4, H5";"MountingHole_3.2mm_M3";5;"MountingHole";;;
13;"HS1";"Heatsink_AAVID_TV5G_TO220_Horizontal";1;"Heatsink";;;
14;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Socket";;;
15;"J2, J3, J4";"TerminalBlock_Altech_AK300-2_P5.00mm";3;"Conn_01x02_Socket";;;
16;"J5";"Mole_KK_1x04__Vertical";1;"Conn_01x04_Socket";;;
17;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
18;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
19;"K1";"Relay_DPDT_Schrack-RT2-FormC_RM5mm";1;"RT424012";;;
20;"Q1";"TO-92_Inline_Wide";1;"BC337";;;
21;"R1, R4, R13, R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10k";;;
22;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"220";;;
23;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"680";;;
24;"R5, R7, R11, R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"270";;;
25;"R6, R9, R10, R14, R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";5;"470";;;
26;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"620";;;
27;"TC1, TC2";"Thermocouple Connector";2;"Thermocouple_Alt";;;
28;"U1";"TO-220-3_Vertical";1;"LM317_TO-220";;;
29;"U2, U3, U4, U5";"DIP-6_W7.62mm";4;"H11L1";;;
30;"U6, U7";"SOIC127P600X175-8N";2;"MAX6675ISA_";;;
