Cross Section Report
//ppfs6.physics.ox.ac.uk/CEG/Central Electronics/Projects/Hastingsp/DUNE/upenn-dune-gib/allegro/gps_interface_boardv51ph_smoothed.brd
Thu Nov 14 08:28:58 2024

Design Cross Section
Subclass Name,Type,Material,Thickness (MIL),Tol +,Tol -,Conductivity (mho/cm),Dielectric Constant,Loss Tangent,Negative Artwork,Shield,Width (MIL),Unused Pin Pad Suppression,Unused Via Pad Suppression
,SURFACE,AIR,,,,0,4,0,,,,,
SOLDERMASK_TOP,MASK,SOLDERMASK,1.000000,0,0,0,4,0.022,,,,,
TOP,CONDUCTOR,COPPER,1.400000,0,0,595900,1.2,0,,,13.02,,
2116 HR PREGPREG 1,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
2116 HR PREGPREG 2,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
2116 HR PREGPREG 3,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
GND1,PLANE,COPPER,1.400000,0,0,595900,1.2,0.035,,Yes,,,
FR4 CORE 0.3 35/35 1,DIELECTRIC,FR4_4.2,11.800000,0,0,0,4.2,0.023,,,,,
SIG,CONDUCTOR,COPPER,1.400000,0,0,595900,1.2,0.035,,,6.00,,
2116 HR PREGPREG 4,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
2116 HR PREGPREG 5,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
2116 HR PREGPREG 6,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
GND2,PLANE,COPPER,1.400000,0,0,595900,1.2,0,,Yes,,,
FR4 CORE 0.3 35/35 2,DIELECTRIC,FR4_4.2,11.800000,0,0,0,4.2,0.023,,,,,
PWR1,PLANE,COPPER,1.400000,0,0,595900,1.2,0.035,,Yes,,,
2116 HR PREGPREG 7,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
2116 HR PREGPREG 8,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
2116 HR PREGPREG 9,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
PWR2,PLANE,COPPER,1.400000,0,0,595900,1.2,0,,Yes,,,
FR4 CORE 0.3 35/35 3,DIELECTRIC,FR4_4.2,11.800000,0,0,0,4.2,0.023,,,,,
GND3,PLANE,COPPER,1.400000,0,0,595900,1.2,0.035,,Yes,,,
2116 HR PREGPREG 10,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
2116 HR PREGPREG 11,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
2116 HR PREGPREG 12,DIELECTRIC,FR4_4.2,4.300000,0,0,0,4.2,0.023,,,,,
BOTTOM,CONDUCTOR,COPPER,1.400000,0,0,595900,1.2,0,,,13.02,,
SOLDERMASK_BOTTOM,MASK,SOLDERMASK,1.000000,0,0,0,4,0.022,,,,,
,SURFACE,AIR,,,,0,4,0,,,,,

Total Thickness: 100.2 MIL
